9:47:33,,,,
systime,时间,封压（MPa),致裂压（MPa),流量（L/min)
9:47:34,1,0,0,0.291
9:47:35,2,0,0,0.27
9:47:36,3,0,0,0.25
9:47:37,4,0,0.25,0.239
9:47:38,5,0,0.35,0.048
9:47:39,6,0,0.48,0.047
9:47:40,7,0,3.41,0.046
9:47:41,8,0,6,0.047
9:47:42,9,0,8.21,0.228
9:47:43,10,0,8.88,1.792
9:47:44,11,0,6.97,3.084
9:47:45,12,0,3.79,4.224
9:47:46,13,0,2.19,6.513
9:47:47,14,0,1.54,6.8
9:47:48,15,0,1.15,5.622
9:47:49,16,0,0.9,4.977
9:47:50,17,0,0.72,3.911
9:47:51,18,0,0.59,3.137
9:47:52,19,0,0.5,2.933
9:47:53,20,0,0.4,2.417
9:47:54,21,0,0.34,2.269
9:47:55,22,0,0.3,1.898
9:47:56,23,0,0.27,1.769
9:47:57,24,0,0.23,1.577
9:47:58,25,0,0.2,1.458
9:47:59,26,0,0.18,1.404
9:48:00,27,0,0.16,1.322
9:48:01,28,0,0.14,1.292
9:48:02,29,0,0.13,1.208
9:48:03,30,0,0.11,1.183
9:48:04,31,0,0.11,1.109
9:48:05,32,0,0.1,1.029
9:48:06,33,0,0.09,0.979
9:48:07,34,0,0.08,0.937
9:48:08,35,0,0.07,0.927
9:48:09,36,0,0.06,0.927
9:48:10,37,0.01,0.06,0.916
9:48:11,38,0,0.05,0.916
9:48:12,39,0,0.05,0.906
9:48:13,40,0,0.04,0.896
9:48:14,41,0.01,0.04,0.855
9:48:15,42,0,0.03,0.845
9:48:16,43,0,0.03,0.819
9:48:17,44,0,0.02,0.785
9:48:18,45,0.01,0,0.755
9:48:19,46,0,-0.01,0.713
9:48:20,47,0,-0.01,0.683
9:48:21,48,0,-0.01,0.45
9:48:22,49,0,-0.01,0.271
9:48:23,50,0,-0.01,0.36
9:48:24,51,0,-0.01,0.508
9:48:25,52,0,-0.01,0.655
9:48:26,53,0,-0.01,0.765
9:48:27,54,0.01,0.11,0.766
9:48:28,55,0,0.3,0.847
9:48:29,56,0,1.77,0.927
9:48:30,57,0,3.93,0.925
9:48:31,58,0.01,4.96,1.095
9:48:32,59,0,5.34,1.096
9:48:33,60,0,5.12,1.508
9:48:34,61,0,4.91,1.697
9:48:35,62,0,5.15,3.346
9:48:36,63,0,3.36,3.346
9:48:37,64,0,2.16,5.431
9:48:38,65,0.01,1.77,6.404
9:48:39,66,0,1.5,5.688
9:48:40,67,0,1.28,4.431
9:48:41,68,0,1.1,4.066
